     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   12    0  100.00 100.00    12      12          12    0 0 0 0
     3   20    0   75.00  70.00    15      14          20    0 0 0 0
     4   21    0   85.71  80.95    18      17          21    0 0 0 0
     5   19    0   84.21  73.68    16      14          19    0 0 0 0
     6   22    0   81.82  81.82    18      18          22    0 0 0 0
     7   11    0  100.00 100.00    11      11          11    0 0 0 0
     8    7    0  100.00 100.00     7       7           7    0 0 0 0
     9    8    0  100.00 100.00     8       8           8    0 0 0 0
    10    4    0  100.00 100.00     4       4           4    0 0 0 0
    11   28    0   85.71  82.14    24      23          28    0 0 0 0
    12   11    0   81.82  72.73     9       8          11    0 0 0 0
    13    3    0  100.00 100.00     3       3           3    0 0 0 0
    14   13    0  100.00 100.00    13      13          13    0 0 0 0
    15   13    0  100.00 100.00    13      13          13    0 0 0 0
    16   28    0   92.86  78.57    26      22          28    0 0 0 0
    17   15    0   86.67  86.67    13      13          15    0 0 0 0
    18   20    0  100.00  95.00    20      19          20    0 0 0 0
    19   18    0   72.22  66.67    13      12          18    0 0 0 0
    20   17    0   88.24  88.24    15      15          17    0 0 0 0
    21   45    0  100.00  88.89    45      40          45    0 0 0 0
    22   21    0   76.19  76.19    16      16          21    0 0 0 0
    23   13    0   92.31  84.62    12      11          13    0 0 0 0
    24    4    0  100.00 100.00     4       4           4    0 0 0 0
    25    3    0  100.00 100.00     3       3           3    0 0 0 0
    26    8    0  100.00 100.00     8       8           8    0 0 0 0
    27   28    0   89.29  85.71    25      24          28    0 0 0 0
    28   12    0   91.67  83.33    11      10          12    0 0 0 0
    29   16    0  100.00 100.00    16      16          16    0 0 0 0
    30   10    0   90.00  80.00     9       8          10    0 0 0 0
    31    7    0  100.00 100.00     7       7           7    0 0 0 0
    32   20    0  100.00  85.00    20      17          20    0 0 0 0
    33   22    0   86.36  81.82    19      18          22    0 0 0 0
    34    7    0  100.00  85.71     7       6           7    0 0 0 0
    35    7    0   85.71  71.43     6       5           7    0 0 0 0
    36    5    0  100.00  80.00     5       4           5    0 0 0 0
    37    9    0  100.00  88.89     9       8           9    0 0 0 0
    38   16    0  100.00 100.00    16      16          16    0 0 0 0
    39    8    0   87.50  87.50     7       7           8    0 0 0 0
    40    9    0  100.00 100.00     9       9           9    0 0 0 0
    41   13    0   69.23  61.54     9       8          13    0 0 0 0
    42   15    0   86.67  86.67    13      13          15    0 0 0 0
    43   18    0   88.89  77.78    16      14          18    0 0 0 0
    44   20    0   90.00  80.00    18      16          20    0 0 0 0
    45   29    0   96.55  82.76    28      24          29    0 0 0 0
    46   13    0   76.92  69.23    10       9          13    0 0 0 0
    47   24    0   91.67  91.67    22      22          24    0 0 0 0
    48   46    0   91.30  89.13    42      41          46    0 0 0 0
    49   13    0   84.62  69.23    11       9          13    0 0 0 0
    50   49    0   97.96  95.92    48      47          49    0 0 0 0
    51   25    0  100.00  96.00    25      24          25    0 0 0 0
    52   43    0   97.67  93.02    42      40          43    0 0 0 0
    53   24    0   95.83  95.83    23      23          24    0 0 0 0
    54   22    0   81.82  77.27    18      17          22    0 0 0 0
    55   14    0   85.71  85.71    12      12          14    0 0 0 0
    56   21    0   76.19  71.43    16      15          21    0 0 0 0
    57   10    0   80.00  80.00     8       8          10    0 0 0 0
    58   17    0  100.00  94.12    17      16          17    0 0 0 0
    59   14    0   92.86  92.86    13      13          14    0 0 0 0
    60   14    0  100.00  85.71    14      12          14    0 0 0 0
    61    4    0  100.00 100.00     4       4           4    0 0 0 0
    62    6    0  100.00 100.00     6       6           6    0 0 0 0
    63    4    0  100.00 100.00     4       4           4    0 0 0 0
    64   10    0  100.00 100.00    10      10          10    0 0 0 0
    65    8    0  100.00 100.00     8       8           8    0 0 0 0
    66   16    0   93.75  87.50    15      14          16    0 0 0 0
    67   11    0   81.82  81.82     9       9          11    0 0 0 0
    68    9    0  100.00  77.78     9       7           9    0 0 0 0
    69    7    0  100.00 100.00     7       7           7    0 0 0 0
    70    8    0  100.00 100.00     8       8           8    0 0 0 0
    71    3    0   66.67  66.67     2       2           3    0 0 0 0
    72    7    0  100.00  85.71     7       6           7    0 0 0 0
    73    7    0  100.00 100.00     7       7           7    0 0 0 0
    74   35    0   94.29  88.57    33      31          35    0 0 0 0
    75   18    0  100.00  94.44    18      17          18    0 0 0 0
    76   31    0   96.77  96.77    30      30          31    0 0 0 0
    77   35    0   94.29  91.43    33      32          35    0 0 0 0
    78   23    0  100.00 100.00    23      23          23    0 0 0 0
    79    2    0  100.00 100.00     2       2           2    0 0 0 0
    80   31    0   90.32  87.10    28      27          31    0 0 0 0
    81    3    0  100.00  66.67     3       2           3    0 0 0 0
    82   27    0   62.96  51.85    17      14          27    0 0 0 0
    83   43    0   79.07  69.77    34      30          43    0 0 0 0
    84   17    0   88.24  82.35    15      14          17    0 0 0 0
