     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   15    0  100.00  93.33    15      14          15    0 0 0 0
     2   20    0   95.00  95.00    19      19          20    0 0 0 0
     3   31    0   67.74  61.29    21      19          31    0 0 0 0
     4   16    0  100.00 100.00    16      16          16    0 0 0 0
     5   10    0   50.00  50.00     5       5          10    0 0 0 0
     6    8    0  100.00  87.50     8       7           8    0 0 0 0
     7   14    0   85.71  78.57    12      11          14    0 0 0 0
     8    9    0   88.89  66.67     8       6           9    0 0 0 0
     9   12    0   58.33  41.67     7       5          12    0 0 0 0
    10    6    0   83.33  66.67     5       4           6    0 0 0 0
    11   15    0   66.67  40.00    10       6          15    0 0 0 0
    12   12    0   83.33  83.33    10      10          12    0 0 0 0
    13    9    0   77.78  77.78     7       7           9    0 0 0 0
    14   12    0  100.00  83.33    12      10          12    0 0 0 0
    15   14    0   57.14  42.86     8       6          14    0 0 0 0
    16    9    0  100.00  88.89     9       8           9    0 0 0 0
    17   11    0  100.00  72.73    11       8          11    0 0 0 0
    18    9    0   88.89  77.78     8       7           9    0 0 0 0
    19   13    0  100.00 100.00    13      13          13    0 0 0 0
    20   24    0   79.17  70.83    19      17          24    0 0 0 0
    21   22    0   86.36  77.27    19      17          22    0 0 0 0
    22    8    0  100.00  87.50     8       7           8    0 0 0 0
    23   15    0   86.67  86.67    13      13          15    0 0 0 0
    24    7    0  100.00 100.00     7       7           7    0 0 0 0
    25    8    0  100.00  87.50     8       7           8    0 0 0 0
    26    3    0  100.00 100.00     3       3           3    0 0 0 0
    27   13    0   92.31  92.31    12      12          13    0 0 0 0
    28   11    0  100.00 100.00    11      11          11    0 0 0 0
    29    9    0  100.00  66.67     9       6           9    0 0 0 0
    30    5    0  100.00  80.00     5       4           5    0 0 0 0
    31   25    0   92.00  80.00    23      20          25    0 0 0 0
    32   16    0  100.00 100.00    16      16          16    0 0 0 0
    33   19    0   94.74  89.47    18      17          19    0 0 0 0
    34   21    0   90.48  80.95    19      17          21    0 0 0 0
    35    8    0   50.00  50.00     4       4           8    0 0 0 0
    36   21    0   90.48  80.95    19      17          21    0 0 0 0
    37   26    0   80.77  76.92    21      20          26    0 0 0 0
    38   19    0  100.00  73.68    19      14          19    0 0 0 0
    39   11    0  100.00  90.91    11      10          11    0 0 0 0
    40    8    0   87.50  87.50     7       7           8    0 0 0 0
    41    7    0  100.00  85.71     7       6           7    0 0 0 0
    42    7    0  100.00  85.71     7       6           7    0 0 0 0
    43   37    0   83.78  75.68    31      28          37    0 0 0 0
    44   11    0  100.00 100.00    11      11          11    0 0 0 0
    45    5    0   60.00  60.00     3       3           5    0 0 0 0
